caso_id,presidente,periodo_gobierno,caso_nombre_corto,caso_descripcion_resumida,anio_inicio,anio_fin,ambito_principal,tipo_afectacion,nivel_responsabilidad,evidencia_responsabilidad,monto_millones_cop,monto_detalles,victimas,victimas_detalles,tiene_condenas_firmes,condenas_detalles,articulos_constitucionales,actores_clave,overton_gravedad,overton_novedad,caso_nombre_corto_en,caso_descripcion_resumida_en,evidencia_responsabilidad_en,fuentes
URB_YIDIS_01,Álvaro Uribe,2002–2010,Yidispolítica – compra votos reelección,Compra de votos en el Congreso para aprobar la reforma constitucional que habilitó la reelección inmediata de Uribe.,2003,2004,Democracia / poder público,Manipulación de reforma constitucional,directa,Confesión de Yidis Medina y condenas a exministros por ofrecer sobornos para aprobar la reforma reeleccionista.,,No es un caso de monto directo de desviación,0,Afectación institucional; sin víctimas físicas directas,true,Exministros Sabas Pretelt y Diego Palacio condenados; exrepresentante Yidis Medina condenada,"1, 3, 40, 113, 114, 123","Yidis Medina, Sabas Pretelt, Diego Palacio",5,5,Yidispolitica – bribe for re-election,Bribery of congress members to pass the constitutional reform enabling Alvaro Uribe's immediate re-election.,Yidis Medina's confession and final convictions of former cabinet ministers for bribing congress members.,[Sentencia Corte Suprema SP-8283](https://www.cortesuprema.gov.co)|[Reporte Congreso de la República](https://www.congreso.gov.co)
URB_DAS_02,Álvaro Uribe,2002–2010,Chuzadas del DAS,"Interceptaciones ilegales a magistrados, periodistas y opositores desde el DAS, organismo adscrito a Presidencia.",2003,2009,Libertad / privacidad,Espionaje político sistemático,politica_fuerte,Informes y sentencias contra directivos del DAS por interceptaciones sistemáticas con fines políticos.,,No aplica monto directo,22500,Se estiman entre 20.000 y 25.000 personas interceptadas o vigiladas ilegalmente,true,Exdirectores del DAS María del Pilar Hurtado y Jorge Noguera condenados,"15, 21, 29, 113","María del Pilar Hurtado, Jorge Noguera",4,4,DAS illegal wiretapping,"Systematic illegal surveillance and wiretapping of supreme court justices, journalists, and opposition politicians by the DAS, a presidency-dependent intelligence agency.",Judicial rulings against DAS directors for wiretapping and political espionage.,[Sentencia Corte Suprema María del Pilar Hurtado](https://www.cortesuprema.gov.co)|[Informe CIDH chuzadas](https://www.oas.org/es/cidh)
URB_FP_03,Álvaro Uribe,2002–2010,Falsos positivos – pico uribista,"Ejecuciones extrajudiciales de civiles presentados como bajas en combate, vinculadas a incentivos de la política de Seguridad Democrática.",2002,2008,Seguridad / derecho a la vida,Ejecuciones extrajudiciales sistemáticas,politica_fuerte,Informes de DD. HH. y de la JEP documentan miles de civiles ejecutados en el periodo Uribe y relacionan el patrón con incentivos institucionales de resultados (“body count”).,,,2500,Orden de 2.000 a 3.000 víctimas en el periodo según la Fiscalía y organismos de DD. HH.,true,Numerosos militares de rangos medios y bajos condenados en la justicia ordinaria,"2, 11, 12, 28, 29, 93","Altos mandos del Ejército, Ministerio de Defensa",5,4,False positives – Uribe peak,"Extrajudicial executions of civilians presented by military forces as casualties in combat, linked to incentives under the Democratic Security policy.",Reports from human rights organizations and JEP documenting thousands of executions linked to military body-count incentives.,[Auto 033 JEP Falsos Positivos](https://www.jep.gov.co)|[Informe ONU DD. HH. Colombia](https://www.ohchr.org)
URB_AIS_04,Álvaro Uribe,2002–2010,Agro Ingreso Seguro (AIS),"Programa de subsidios agrícolas que terminó concentrando recursos en grandes terratenientes, favoreciendo élites y no pequeños campesinos.",2007,2009,Igualdad / política agraria,Uso regresivo de subsidios públicos,politica_fuerte,Condena al exministro Andrés Felipe Arias por peculado y celebración indebida de contratos; el programa era bandera de gobierno.,200000,Estimado en cerca de 200.000 millones de COP asignados irregularmente,,Miles de familias campesinas de escasos recursos excluidas,true,Exministro de Agricultura Andrés Felipe Arias condenado,"13, 64, 65, 366, 363",Andrés Felipe Arias,4,3,Agro Ingreso Seguro (AIS),"Agricultural subsidy program that ended up concentrating public funds in wealthy landowners, favoring elites over poor peasants.",Peculation conviction of former Agriculture Minister Andrés Felipe Arias.,[Sentencia Corte Suprema Andrés Felipe Arias](https://www.cortesuprema.gov.co)
SAN_ODEB_01,Juan Manuel Santos,2010–2018,Odebrecht – campaña Santos 2014,"Ingreso de aportes de Odebrecht a la campaña de reelección de Santos, no reportados adecuadamente a autoridades electorales.",2013,2014,Corrupción electoral,Financiación irregular de campaña,directa_beneficio,CNE y Fiscalía investigaron aportes a la campaña; no se probó responsabilidad penal directa del presidente pero la campaña fue beneficiaria.,6000,Aproximadamente 6.000 millones de COP (conversión de 1.6 millones de USD de la época),0,Daño institucional y de equidad en la contienda electoral,false,Investigaciones penales contra Santos archivadas; condenas a gerentes de campaña e intermediarios,"40, 107, 109, 113","Roberto Prieto, directivos de Odebrecht",4,3,Odebrecht – Santos 2014 campaign,Inflow of unreported bribes from multinational Odebrecht into Santos's re-election campaign.,"Inquiries by the National Electoral Council and convictions of campaign managers, though the president wasn't personally convicted.",[Resolución CNE Odebrecht](https://www.cne.gov.co)|[Boletín Fiscalía General](https://www.fiscalia.gov.co)
SAN_FP_02,Juan Manuel Santos,2010–2018,Falsos positivos – continuidad y descenso,"Continuidad de ejecuciones extrajudiciales heredadas, con tendencia decreciente pero aún presentes en su primer periodo.",2010,2014,Seguridad / derecho a la vida,Ejecuciones extrajudiciales (residuales),politica_fuerte,"Informes de DD. HH. y de la JEP documentan casos en años posteriores a 2010, aunque en descenso.",,,300,Se estiman centenares de casos bajo investigación de la JEP correspondientes a este periodo,true,Militares de rangos medios y bajos condenados en la justicia ordinaria,"2, 11, 12, 28, 29, 93",Mandos militares,4,2,False positives – Santos transition,"Continuity of extrajudicial executions inherited from the previous period, with a declining trend but still present during Santos's first term.",JEP and human rights reports documenting cases post-2010 under investigation.,[Estadísticas JEP Caso 03](https://www.jep.gov.co)
DUQ_ESMAD_01,Iván Duque,2018–2022,Paro Nacional – uso del ESMAD,"Uso letal y abusivo de la fuerza pública durante protestas 2019–2021, con muertos, heridos y desapariciones temporales.",2019,2021,Seguridad / libertades públicas,Represión de protesta social,politica_fuerte,Informes de la ONU y ONG reportan múltiples violaciones de DD. HH. en el marco de protestas; el gobierno defendió la actuación policial.,,,80,Decenas de muertos y centenares de heridos documentados por la ONU,false,Sanciones penales y disciplinarias individuales en curso; sin condenas estructurales,"2, 11, 20, 37, 93","Policía Nacional, ESMAD, Ministerio de Defensa",4,4,National Strike – ESMAD police abuse,"Lethal and abusive use of force by public forces during the 2019-2021 protests, leading to deaths and injuries.",UN and NGO reports documenting human rights violations by police during protests.,[Informe ONU Derechos Humanos Paro Nacional](https://www.ohchr.org)|[Reporte Indepaz](https://www.indepaz.org.co)
DUQ_CP_02,Iván Duque,2018–2022,Centros Poblados – conectividad rural,"Desvío de 70.000 millones de pesos de anticipo para conectar colegios rurales, mediante garantías bancarias falsas.",2020,2021,Corrupción / derechos sociales,Desvío de recursos para educación/conectividad,politica_fuerte,Condena al representante de la UT Centros Poblados; el programa era bandera del gobierno y evidencia fallas de supervisión.,70000,Desvío de anticipo irrecuperable de 70.000 millones de COP,,Miles de niños rurales privados de conectividad educativa,true,Condena a Luis Fernando Duque (representante UT) y otros implicados,"2, 44, 67, 356, 363","Karen Abudinen, Unión Temporal Centros Poblados",4,3,Centros Poblados – rural connectivity,"Embezzlement of 70 billion COP in advance payments meant to connect rural schools, using forged bank guarantees.",Convictions of the consortium representative and major contract supervisors for fraud and embezzlement.,[Fallo condenatorio Centros Poblados](https://www.ramajudicial.gov.co)
PET_UNGRD_01,Gustavo Petro,2022–2026,UNGRD – carrotanques y compra Congreso,"Esquema de desvío de recursos de la UNGRD para comprar congresistas y asegurar apoyo a reformas, usando contratos de carrotanques en La Guajira.",2023,2024,Corrupción / democracia,Compra de votos legislativos con recursos públicos,politica_fuerte_en_debate,Testimonios de exdirectivos de la UNGRD ante la Fiscalía e imputaciones a altos funcionarios del círculo presidencial.,4000,Monto de sobornos identificados inicialmente en efectivo,0,Daño de legitimidad institucional; población de La Guajira desabastecida de agua,false,Procesos judiciales activos e imputaciones formales en curso en Fiscalía y Corte Suprema,"1, 2, 3, 40, 113, 114, 122, 123, 363","Olmedo López, Sneyder Pinilla, Ricardo Bonilla, Luis Fernando Velasco, Iván Name, Andrés Calle",5,4,UNGRD – Congress bribery,Embezzlement of disaster relief funds through a water truck contract to bribe congress members for passing government reforms.,"Confessions of former UNGRD directors, active investigations, and indictments by the Attorney General's office.",[Imputaciones UNGRD Fiscalía](https://www.fiscalia.gov.co)
PET_LIDERES_02,Gustavo Petro,2022–2026,Asesinatos de líderes sociales bajo Petro,Continuidad de asesinatos de líderes sociales y defensores de DD. HH. debido a fallas en la protección y control del territorio.,2022,2025,Seguridad / DD. HH.,Falta de protección efectiva a líderes sociales,estructural_con_intentos_correccion,Informes de la ONU reportan 410 homicidios entre 2022 y 2025 reconociendo avances pero concluyendo fallas en protección.,,,410,410 líderes sociales y defensores de DD. HH. asesinados según datos de la ONU,false,Responsabilidad penal directa de grupos ilegales; responsabilidad estatal indirecta por omisión protectora,"2, 11, 93, 95","Líderes sociales, Unidad Nacional de Protección (UNP)",4,2,Social leaders under Petro,Continued violence and killings of social leaders and human rights defenders due to gaps in state control and territorial protection.,"UN reports documenting 410 assassinations between 2022 and 2025, concluding state failures in protective coverage.",[Informe Anual de Derechos Humanos ONU](https://www.ohchr.org)
URB_PARA_05,Álvaro Uribe,2002–2010,Parapolítica – alianzas paramilitares y congresistas,Infiltración y cooptación del Congreso de la República y administraciones locales por parte de grupos paramilitares con fines políticos.,2006,2008,Democracia / poder público,Cooptación del legislativo por grupos armados,politica_fuerte,Condenas de la Corte Suprema a decenas de congresistas de la coalición de gobierno por vínculos con paramilitares; cuestionamientos a la desmovilización.,,,0,Daño a la representación democrática nacional; captura institucional masiva,true,La Corte Suprema de Justicia condenó a más de 60 congresistas por nexos con el paramilitarismo,"1, 2, 40, 113, 122, 123, 133","Salvatore Mancuso, congresistas de la coalición de gobierno, jefes paramilitares",5,5,Parapolitics – legislative capture,Co-optation of the Congress and local administrations by paramilitary groups to build political alliances.,Supreme Court convictions of over 60 congressmen from the government coalition for paramilitary ties.,[Sentencia Parapolítica Corte Suprema](https://www.cortesuprema.gov.co)
GEN_LED_01,Estado Colombiano,2002–2026,Violencia contra líderes sociales y defensores de DD. HH.,Asesinatos y persecución sistemática a defensores de derechos humanos y líderes comunitarios como patrón de violencia persistente.,2002,2026,Seguridad / DD. HH.,Falta de protección y control estatal del territorio,estructural_con_intentos_correccion,Informes de la CIDH y de la ONU señalan la falla estructural del Estado en garantizar la vida de líderes en zonas rurales.,,,1500,Miles de defensores y líderes comunitarios asesinados en las últimas dos décadas,false,Impunidad generalizada en la autoría intelectual; fallos aislados en autores materiales,"2, 11, 93, 95","Líderes sociales, organizaciones defensoras de DD. HH., grupos armados ilegales",5,3,Violence against social leaders,Sustained pattern of killings and persecution of community leaders and human rights defenders.,UN and IACHR reports highlighting the state's structural failure to protect leaders in rural areas.,[Informe Especial Defensoría del Pueblo](https://www.defensoria.gov.co)
